기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처
한진칼,180640,2019Q1,2019-03-31,분기별 당기순이익(지배),재작성 반영,-7964849288,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515002717,-24294834775,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200515002569
한진칼,180640,2019Q2,2019-06-30,분기별 당기순이익(지배),재작성 반영,-141830443811,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002945,-132575991727,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200814002194
한진칼,180640,2019Q3,2019-09-30,분기별 당기순이익(지배),재작성 반영,-89425996968,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002640,-81658808411,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201116002070
한진칼,180640,2019Q4,2019-12-31,분기별 당기순이익(지배),재작성 반영,-5173555491,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210317000917 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002640,-5865210645,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201116002070
한진칼,180640,2021Q2,2021-06-30,분기별 매출액,재분류(미반영),101085278706,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210813001289,37785364904,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220823000294
한진칼,180640,2021Q2,2021-06-30,분기별 영업이익,재분류(미반영),-49722522054,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210813001289,-947094096,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220823000294
한진칼,180640,2021Q3,2021-09-30,분기별 매출액,재분류(미반영),99736078303,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211115001276,39172520132,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20221111001027
한진칼,180640,2021Q3,2021-09-30,분기별 영업이익,재분류(미반영),-48531621524,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211115001276,-4004592673,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20221111001027
한진칼,180640,2021Q4,2021-12-31,분기별 매출액,재분류(미반영),119875374787,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220315001132 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211115001276,287601272150,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20221111001027
한진칼,180640,2021Q4,2021-12-31,분기별 영업이익,재분류(미반영),-31439553428,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220315001132 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211115001276,-184820860051,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20221111001027
한진칼,180640,2022Q1,2022-03-31,분기별 매출액,재분류(미반영),108592501384,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220516002130,41209468461,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230515002432
한진칼,180640,2022Q1,2022-03-31,분기별 영업이익,재분류(미반영),-45513329784,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220516002130,875892546,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230515002432
한진칼,180640,2022Q2,2022-06-30,분기별 당기순이익(지배),재분류(미반영),561833629179,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220823000294,414738678445,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230814002711
이수페타시스,007660,2020Q2,2020-06-30,분기별 매출액,재분류(미반영),124852159744,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200814000866,103826203968,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210817002175
이수페타시스,007660,2020Q2,2020-06-30,분기별 영업이익,재분류(미반영),3351360162,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200814000866,8205037011,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210817002175
이수페타시스,007660,2020Q3,2020-09-30,분기별 매출액,재분류(미반영),149538692570,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201116001644,109361350787,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211115001827
이수페타시스,007660,2020Q3,2020-09-30,분기별 영업이익,재분류(미반영),4356597263,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201116001644,5305886513,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211115001827
이수페타시스,007660,2020Q4,2020-12-31,분기별 매출액,재분류(미반영),117631763039,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210405003044 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201116001644,218679373234,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211115001827
이수페타시스,007660,2020Q4,2020-12-31,분기별 영업이익,재분류(미반영),-2792714937,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210405003044 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201116001644,-8337750218,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211115001827
이수페타시스,007660,2021Q1,2021-03-31,분기별 매출액,재분류(미반영),122330821329,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210517002177,98770992999,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220516001900
이수페타시스,007660,2021Q1,2021-03-31,분기별 영업이익,재분류(미반영),-2768242579,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210517002177,1904605064,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220516001900
