기업,종목코드,기간,기준일,항목,값(원),값구분,출처
삼성전자,005930,2019Q1,2019-03-31,분기말 자산총계,345067883000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001605
삼성전자,005930,2019Q1,2019-03-31,분기말 부채총계,91852732000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001605
삼성전자,005930,2019Q1,2019-03-31,분기말 총자본(자기자본),253215151000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001605
삼성전자,005930,2019Q1,2019-03-31,분기별 매출액,52385546000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001605
삼성전자,005930,2019Q1,2019-03-31,분기별 영업이익,6233282000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001605
삼성전자,005930,2019Q1,2019-03-31,분기별 당기순이익(지배),5107490000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001605
삼성전자,005930,2019Q1,2019-03-31,분기별 영업활동현금흐름,5244311000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001605
삼성전자,005930,2019Q1,2019-03-31,분기말 지배지분 자본,245499809000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001605
삼성전자,005930,2019Q1,2019-03-29,분기말 종가,44650,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20190329 (KOSPI, 삼성전자 ; 종가 44650 × 상장주식수 5969782550 = 시가총액 266550790857500)"
삼성전자,005930,2019Q1,2019-03-29,분기말 상장주식수,5969782550,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20190329 (KOSPI, 삼성전자 ; 종가 44650 × 상장주식수 5969782550 = 시가총액 266550790857500)"
삼성전자,005930,2019Q1,2019-03-29,분기말 시가총액,266550790857500,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20190329 (KOSPI, 삼성전자 ; 종가 44650 × 상장주식수 5969782550 = 시가총액 266550790857500)"
삼성전자,005930,2019Q2,2019-06-30,분기말 자산총계,342940134000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002218
삼성전자,005930,2019Q2,2019-06-30,분기말 부채총계,85193101000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002218
삼성전자,005930,2019Q2,2019-06-30,분기말 총자본(자기자본),257747033000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002218
삼성전자,005930,2019Q2,2019-06-30,분기별 매출액,56127104000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002218
삼성전자,005930,2019Q2,2019-06-30,분기별 영업이익,6597065000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002218
삼성전자,005930,2019Q2,2019-06-30,분기별 당기순이익(지배),5064530000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002218
삼성전자,005930,2019Q2,2019-06-30,분기별 영업활동현금흐름,6594865000000,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002218 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001605
삼성전자,005930,2019Q2,2019-06-30,분기말 지배지분 자본,249892661000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002218
